"Item1","Item2","Item3","Item4","Item5","Item6","Item7","Item8","Item9","Item10","b1","b2","b3","b4","b5","b6","Group"
11.5,7,11.5,0,11.5,7,15,11.5,7,4,1,5,3,9,14,2,"A"
14.5,2.5,11,2.5,5,7.5,14.5,11,7.5,11,0,6,4,9,13,1,"A"
14.5,4,11.5,1,7.5,7.5,14.5,11.5,7.5,7.5,0,5,3,10,13,2,"A"
14.5,4,11,0,7,7,14.5,11,11,7,1,5,3,9,13,2,"A"
14.5,4.5,11,2,4.5,7.5,14.5,11,7.5,11,0,6,3,9,13,1,"A"
11,4.5,15,7,1,11,11,11,4.5,11,0,6,3,8,14,2,"A"
11.5,7,15,7,1,11.5,11.5,11.5,4,7,0,5,3,9,14,2,"A"
14.5,4,10.5,1,6.5,6.5,14.5,10.5,10.5,10.5,0,5,3,8,13,2,"A"
14.5,7,11.5,1,7,7,14.5,11.5,7,7,0,4,3,10,13,2,"A"
14,2.5,14,5,2.5,7.5,14,10.5,7.5,10.5,0,6,4,9,12,1,"A"
11.5,7,11.5,2,7,11.5,15,11.5,4,7,0,5,3,9,14,1,"A"
14.5,4,11.5,0,7.5,7.5,14.5,11.5,7.5,7.5,1,5,3,10,13,2,"A"
11,11,14.5,2,4,11,14.5,7,7,7,0,5,3,9,13,1,"A"
14,6.5,14,1,6.5,6.5,14,10.5,10.5,6.5,0,4,3,9,12,2,"A"
14,4.5,14,2,4.5,7.5,14,10.5,7.5,10.5,0,6,3,9,12,1,"A"
14.5,4.5,11,2,4.5,7.5,14.5,11,7.5,11,0,6,3,9,13,1,"A"
14,2.5,8.5,2.5,8.5,8.5,14,14,5,8.5,0,6,4,11,12,1,"A"
14.5,6.5,11,0,6.5,6.5,14.5,11,11,6.5,1,4,3,9,13,2,"A"
12,7.5,12,0,7.5,7.5,15,12,7.5,4,1,5,3,10,14,2,"A"
11,6.5,14.5,1,6.5,11,14.5,6.5,11,6.5,0,4,3,9,13,2,"A"
14.5,7.5,11.5,2,7.5,7.5,14.5,11.5,4,7.5,0,5,3,10,13,1,"A"
14,1,10.5,3,5,7.5,14,14,7.5,10.5,0,6,4,9,12,2,"A"
11.5,6.5,11.5,1,6.5,11.5,15,11.5,6.5,6.5,0,4,3,9,14,2,"A"
11,7,14.5,7,2,11,14.5,11,4,7,0,5,3,9,13,1,"A"
14,1.5,10.5,1.5,7.5,5,14,14,7.5,10.5,0,6,4,9,12,3,"A"
11.5,11.5,11.5,0,7,11.5,15,7,7,4,1,5,3,9,14,2,"A"
11.5,6.5,11.5,2,6.5,11.5,15,11.5,6.5,6.5,0,4,3,9,14,1,"A"
14,6,14,1,6,6,14,10,10,10,0,4,3,8,12,2,"A"
14,3.5,7.5,0,10.5,3.5,14,14,10.5,7.5,1,6,5,9,12,2,"A"
11,7,14.5,2,4,11,14.5,7,7,11,0,5,3,9,13,1,"A"
14.5,4,11,2,7,7,14.5,11,7,11,0,5,3,9,13,1,"A"
14,1,8,3,8,8,14,14,5,11,0,6,4,10,12,2,"A"
14,4.5,8,0,11,4.5,14,14,8,8,1,6,3,10,12,2,"A"
12,8,12,4.5,2,12,15,8,4.5,8,0,6,3,10,14,1,"A"
14.5,7,11,0,11,7,14.5,11,7,4,1,5,3,9,13,2,"A"
14.5,4,11.5,0,7.5,7.5,14.5,11.5,7.5,7.5,1,5,3,10,13,2,"A"
11.5,7.5,14.5,3.5,3.5,11.5,14.5,7.5,7.5,7.5,0,5,2,10,13,1,"A"
11.5,8,11.5,4.5,4.5,11.5,15,11.5,4.5,4.5,0,7,2,9,14,1,"A"
14.5,7,11,2,4,11,14.5,11,7,7,0,5,3,9,13,1,"A"
11,4.5,11,7,2,11,15,11,4.5,11,0,6,3,8,14,1,"A"
14.5,4,11.5,1,7.5,7.5,14.5,11.5,7.5,7.5,0,5,3,10,13,2,"A"
11.5,6.5,11.5,1,6.5,11.5,15,11.5,6.5,6.5,0,4,3,9,14,2,"A"
8.5,8.5,14.5,8.5,0,14.5,12,8.5,2,5,1,6,4,11,13,3,"A"
14,4.5,14,4.5,2,10,14,10,7,10,0,6,3,8,12,1,"A"
14,3,8.5,0,8.5,5,14,14,8.5,8.5,1,6,4,11,12,2,"A"
14.5,2.5,11.5,2.5,7.5,7.5,14.5,11.5,7.5,7.5,0,5,4,10,13,1,"A"
14.5,4,10.5,0,6.5,6.5,14.5,10.5,10.5,10.5,1,5,3,8,13,2,"A"
14.5,4.5,11.5,2,4.5,8,14.5,11.5,8,8,0,6,3,10,13,1,"A"
14.5,4,11,1,7,7,14.5,11,7,11,0,5,3,9,13,2,"A"
14.5,4.5,11,2,4.5,7.5,14.5,11,7.5,11,0,6,3,9,13,1,"A"
14.5,4,11.5,2,7.5,7.5,14.5,11.5,7.5,7.5,0,5,3,10,13,1,"A"
11,7.5,14.5,4.5,2,11,14.5,11,4.5,7.5,0,6,3,9,13,1,"A"
14.5,3,11,1,7,7,14.5,11,7,11,0,5,4,9,13,2,"A"
11.5,7,11.5,7,2.5,11.5,15,11.5,2.5,7,0,5,4,9,14,1,"A"
11.5,6.5,11.5,2,6.5,11.5,15,11.5,6.5,6.5,0,4,3,9,14,1,"A"
14,2,10.5,4.5,4.5,7.5,14,14,7.5,10.5,0,6,3,9,12,1,"A"
12,8.5,12,4.5,4.5,12,15,8.5,4.5,4.5,0,7,2,10,14,1,"A"
14.5,4.5,11,2,4.5,7.5,14.5,11,7.5,11,0,6,3,9,13,1,"A"
12,7.5,12,1,7.5,12,15,7.5,7.5,4,0,5,3,10,14,2,"A"
12,5,12,7.5,3,12,12,12,1,7.5,0,6,4,9,15,2,"A"
14.5,7,11.5,1,7,7,14.5,11.5,7,7,0,4,3,10,13,2,"A"
14.5,2.5,11,2.5,7,7,14.5,11,7,11,0,5,4,9,13,1,"A"
11.5,6.5,11.5,2,6.5,11.5,15,11.5,6.5,6.5,0,4,3,9,14,1,"A"
14.5,4,11.5,1,7.5,7.5,14.5,11.5,7.5,7.5,0,5,3,10,13,2,"A"
14.5,6.5,11,0,6.5,6.5,14.5,11,11,6.5,1,4,3,9,13,2,"A"
11.5,7.5,14.5,4,2,11.5,14.5,7.5,7.5,7.5,0,5,3,10,13,1,"A"
11,11,14.5,2,7,11,14.5,7,7,4,0,5,3,9,13,1,"A"
11,3.5,15,7,0,11,11,11,3.5,11,1,6,5,8,14,2,"A"
11,7,14.5,2,4,11,14.5,11,7,7,0,5,3,9,13,1,"A"
14.5,7,11.5,2,7,7,14.5,11.5,7,7,0,4,3,10,13,1,"A"
14.5,4,11.5,1,7.5,7.5,14.5,11.5,7.5,7.5,0,5,3,10,13,2,"A"
14.5,4,11,4,4,7.5,14.5,11,7.5,11,0,6,2,9,13,1,"A"
12.5,8.5,8.5,1,8.5,8.5,15,12.5,4.5,4.5,0,6,3,11,14,2,"A"
14.5,4,11,1,7,7,14.5,11,7,11,0,5,3,9,13,2,"A"
11.5,7.5,11.5,2,7.5,11.5,15,11.5,4.5,4.5,0,6,3,9,14,1,"A"
11.5,7.5,11.5,2,7.5,11.5,15,11.5,4.5,4.5,0,6,3,9,14,1,"A"
11,6.5,14.5,1,6.5,11,14.5,6.5,11,6.5,0,4,3,9,13,2,"A"
14.5,4,11,1,7,7,14.5,11,7,11,0,5,3,9,13,2,"A"
14.5,4,11.5,1,7.5,7.5,14.5,11.5,7.5,7.5,0,5,3,10,13,2,"A"
11,7,14.5,2,4,11,14.5,11,7,7,0,5,3,9,13,1,"A"
11,7,14.5,2,4,11,14.5,11,7,7,0,5,3,9,13,1,"A"
11.5,7,11.5,2,4,11.5,15,11.5,7,7,0,5,3,9,14,1,"A"
11,7,14.5,4,2,11,14.5,11,7,7,0,5,3,9,13,1,"A"
14.5,7,11.5,0,7,7,14.5,11.5,7,7,1,4,3,10,13,2,"A"
11.5,7.5,14.5,4,2,11.5,14.5,7.5,7.5,7.5,0,5,3,10,13,1,"A"
14.5,4,11,4,4,11,14.5,11,7.5,7.5,0,6,2,9,13,1,"A"
10.5,6.5,14.5,2.5,2.5,10.5,14.5,10.5,6.5,10.5,0,5,4,8,13,1,"A"
11,7,14.5,7,2,11,14.5,11,4,7,0,5,3,9,13,1,"A"
14,3,9.5,0,9.5,5,14,14,9.5,9.5,1,6,4,7,12,2,"A"
14.5,4.5,11.5,4.5,4.5,8.5,14.5,11.5,4.5,8.5,0,7,2,10,13,1,"A"
14.5,5,9,1,9,9,14.5,12,5,5,0,7,3,11,13,2,"A"
14.5,7,11.5,1,7,7,14.5,11.5,7,7,0,4,3,10,13,2,"A"
14.5,4,11,0,7,7,14.5,11,11,7,1,5,3,9,13,2,"A"
14.5,4.5,11.5,2,4.5,8,14.5,11.5,8,8,0,6,3,10,13,1,"A"
14.5,4,10.5,0,6.5,6.5,14.5,10.5,10.5,10.5,1,5,3,8,13,2,"A"
14.5,4,8,1,8,8,14.5,12,8,8,0,5,3,11,13,2,"A"
14.5,7,11,2,4,11,14.5,11,7,7,0,5,3,9,13,1,"A"
11.5,7.5,11.5,4,4,11.5,15,11.5,4,7.5,0,6,2,9,14,1,"A"
11.5,4.5,11.5,4.5,4.5,11.5,15,11.5,4.5,8,0,7,2,9,14,1,"A"
12,7.5,12,3.5,3.5,12,15,7.5,7.5,7.5,0,5,2,10,14,1,"A"
14,1,10.5,4.5,4.5,7.5,14,14,7.5,10.5,0,6,3,9,12,2,"A"
11.5,7,11.5,2,4,11.5,15,11.5,7,7,0,5,3,9,14,1,"A"
14.5,4,11,1,7,7,14.5,11,7,11,0,5,3,9,13,2,"A"
11.5,11.5,11.5,1,7,11.5,15,7,7,4,0,5,3,9,14,2,"A"
14.5,4,10.5,1,6.5,6.5,14.5,10.5,10.5,10.5,0,5,3,8,13,2,"A"
14,3,10,0,7,5,14,14,10,10,1,6,4,8,12,2,"A"
11.5,5,15,7.5,1,11.5,11.5,11.5,3,7.5,0,6,4,9,14,2,"A"
14,3,10.5,1,7,7,14,14,7,10.5,0,5,4,9,12,2,"A"
11,7.5,14.5,4,4,11,14.5,11,4,7.5,0,6,2,9,13,1,"A"
14,3,10,0,7,5,14,14,10,10,1,6,4,8,12,2,"A"
11,11,14.5,2,6.5,11,14.5,6.5,6.5,6.5,0,4,3,9,13,1,"A"
14.5,2,11,4.5,4.5,7.5,14.5,11,7.5,11,0,6,3,9,13,1,"A"
11.5,7.5,11.5,4,4,11.5,15,11.5,4,7.5,0,6,2,9,14,1,"A"
14.5,7,11.5,1,7,7,14.5,11.5,7,7,0,4,3,10,13,2,"A"
11.5,7.5,11.5,2,7.5,11.5,15,11.5,4.5,4.5,0,6,3,9,14,1,"A"
14,4.5,14,4.5,2,10,14,10,7,10,0,6,3,8,12,1,"A"
14.5,6,10.5,0,10.5,6,14.5,10.5,10.5,6,1,4,3,8,13,2,"A"
11.5,5,11.5,5,2,11.5,15,11.5,5,8,0,7,3,9,14,1,"A"
14.5,7,11,2,4,11,14.5,11,7,7,0,5,3,9,13,1,"A"
11.5,7.5,14.5,7.5,2,11.5,14.5,7.5,4,7.5,0,5,3,10,13,1,"A"
14,3,8,0,11,5,14,14,8,8,1,6,4,10,12,2,"A"
14.5,4,10.5,1,6.5,6.5,14.5,10.5,10.5,10.5,0,5,3,8,13,2,"A"
14.5,7,11.5,1,7,7,14.5,11.5,7,7,0,4,3,10,13,2,"A"
14.5,4,11.5,1,7.5,7.5,14.5,11.5,7.5,7.5,0,5,3,10,13,2,"A"
14,4.5,14,4.5,1,10,14,10,7,10,0,6,3,8,12,2,"A"
12,8,12,8,2.5,12,15,8,2.5,5,0,6,4,10,14,1,"A"
11,11,14.5,2,4.5,11,14.5,7.5,7.5,4.5,0,6,3,9,13,1,"A"
11.5,7,11.5,2,7,11.5,15,11.5,4,7,0,5,3,9,14,1,"A"
11.5,7.5,14.5,2,4,11.5,14.5,7.5,7.5,7.5,0,5,3,10,13,1,"A"
14.5,7,11.5,2,7,7,14.5,11.5,7,7,0,4,3,10,13,1,"A"
11.5,4.5,11.5,4.5,4.5,11.5,15,11.5,4.5,8,0,7,2,9,14,1,"A"
14.5,7.5,7.5,0,11.5,7.5,14.5,11.5,7.5,4,1,5,3,10,13,2,"A"
11.5,5,11.5,5,5,11.5,15,11.5,2,8,0,7,3,9,14,1,"A"
14.5,4,11,1,7,7,14.5,11,7,11,0,5,3,9,13,2,"A"
14,4.5,8,0,11,4.5,14,14,8,8,1,6,3,10,12,2,"A"
11.5,7,11.5,2,4,11.5,15,11.5,7,7,0,5,3,9,14,1,"A"
11.5,7.5,11.5,2,7.5,11.5,15,11.5,4.5,4.5,0,6,3,9,14,1,"A"
14.5,7,11.5,0,7,7,14.5,11.5,7,7,1,4,3,10,13,2,"A"
11.5,7.5,14.5,2,4,11.5,14.5,7.5,7.5,7.5,0,5,3,10,13,1,"A"
11.5,8,14.5,4,4,11.5,14.5,8,4,8,0,6,2,10,13,1,"A"
14.5,6,10.5,0,10.5,6,14.5,10.5,10.5,6,1,4,3,8,13,2,"A"
14.5,4,11.5,0,7.5,7.5,14.5,11.5,7.5,7.5,1,5,3,10,13,2,"A"
12,7,12,1,7,7,15,12,7,7,0,4,3,10,14,2,"A"
14.5,7,11.5,1,7,7,14.5,11.5,7,7,0,4,3,10,13,2,"A"
11.5,7.5,14.5,2,4,11.5,14.5,7.5,7.5,7.5,0,5,3,10,13,1,"A"
11.5,7.5,11.5,2.5,7.5,11.5,15,11.5,5,2.5,0,6,4,9,14,1,"A"
11,7.5,14.5,4.5,2,11,14.5,11,4.5,7.5,0,6,3,9,13,1,"A"
11.5,7,11.5,2,4,11.5,15,11.5,7,7,0,5,3,9,14,1,"A"
14.5,4,11.5,2,7.5,7.5,14.5,11.5,7.5,7.5,0,5,3,10,13,1,"A"
12,8,12,2,8,12,15,8,4.5,4.5,0,6,3,10,14,1,"A"
14,6,14,0,6,6,14,10,10,10,1,4,3,8,12,2,"A"
14.5,4.5,11,2,4.5,7.5,14.5,11,7.5,11,0,6,3,9,13,1,"A"
14,1,7.5,3,7.5,7.5,14,14,7.5,11,0,5,4,10,12,2,"A"
14.5,4.5,11,2,4.5,11,14.5,11,7.5,7.5,0,6,3,9,13,1,"A"
11.5,7.5,14.5,4,2,11.5,14.5,7.5,7.5,7.5,0,5,3,10,13,1,"A"
14.5,2.5,11.5,2.5,8,8,14.5,11.5,5,8,0,6,4,10,13,1,"A"
14,2.5,14,5,2.5,10,14,10,7,10,0,6,4,8,12,1,"A"
11.5,6.5,11.5,1,6.5,11.5,15,11.5,6.5,6.5,0,4,3,9,14,2,"A"
14,3,10.5,1,7,7,14,14,7,10.5,0,5,4,9,12,2,"A"
11.5,7.5,14.5,3.5,3.5,11.5,14.5,7.5,7.5,7.5,0,5,2,10,13,1,"A"
11.5,5,11.5,5,5,11.5,15,11.5,1,8,0,7,3,9,14,2,"A"
11.5,7.5,11.5,4,4,11.5,15,11.5,4,7.5,0,6,2,9,14,1,"A"
14.5,7,11.5,1,7,7,14.5,11.5,7,7,0,4,3,10,13,2,"A"
14.5,4.5,11.5,2,8,8,14.5,11.5,4.5,8,0,6,3,10,13,1,"A"
14.5,6.5,11,1,6.5,11,14.5,11,6.5,6.5,0,4,3,9,13,2,"A"
14,1,10.5,5.5,3,8,14,14,5.5,10.5,0,7,4,9,12,2,"A"
11.5,8,11.5,4.5,4.5,11.5,15,11.5,4.5,4.5,0,7,2,9,14,1,"A"
14.5,7,11.5,2,7,7,14.5,11.5,7,7,0,4,3,10,13,1,"A"
14.5,4,11.5,0,7.5,7.5,14.5,11.5,7.5,7.5,1,5,3,10,13,2,"A"
14.5,4,10.5,0,6.5,6.5,14.5,10.5,10.5,10.5,1,5,3,8,13,2,"A"
14.5,5,10.5,5,2,10.5,14.5,10.5,5,10.5,0,7,3,8,13,1,"A"
14.5,4,11,1,7,7,14.5,11,7,11,0,5,3,9,13,2,"A"
14.5,4,11,4,4,11,14.5,11,7.5,7.5,0,6,2,9,13,1,"A"
14.5,7,11.5,0,7,7,14.5,11.5,7,7,1,4,3,10,13,2,"A"
11.5,6.5,11.5,2,6.5,11.5,15,11.5,6.5,6.5,0,4,3,9,14,1,"A"
14.5,7,11.5,0,7,7,14.5,11.5,7,7,1,4,3,10,13,2,"A"
11,5,15,7,1,11,11,11,3,11,0,6,4,8,14,2,"A"
14,3,10.5,0,7.5,5,14,14,7.5,10.5,1,6,4,9,12,2,"A"
11.5,7.5,11.5,4,4,11.5,15,11.5,4,7.5,0,6,2,9,14,1,"A"
11.5,7,11.5,2,7,11.5,15,11.5,7,4,0,5,3,9,14,1,"A"
12,8.5,12,4.5,4.5,12,15,8.5,4.5,4.5,0,7,2,10,14,1,"A"
14,4,14,4,4,10,14,10,7,10,0,6,2,8,12,1,"A"
14.5,7.5,7.5,0,11.5,7.5,14.5,11.5,7.5,3,1,5,4,10,13,2,"A"
12.5,8,12.5,8,1.5,12.5,12.5,8,1.5,5,0,6,4,10,15,3,"A"
14.5,4,11,4,4,7.5,14.5,11,7.5,11,0,6,2,9,13,1,"A"
11,11,14.5,2,6.5,11,14.5,6.5,6.5,6.5,0,4,3,9,13,1,"A"
14.5,4.5,11.5,4.5,4.5,8.5,14.5,11.5,4.5,8.5,0,7,2,10,13,1,"A"
14.5,4.5,11,4.5,4.5,11,14.5,11,4.5,8,0,7,2,9,13,1,"A"
11.5,7,11.5,2,7,11.5,15,11.5,4,7,0,5,3,9,14,1,"A"
11,7,14.5,4,2,11,14.5,11,7,7,0,5,3,9,13,1,"A"
14,0.5,9.5,0.5,9.5,4,14,14,9.5,9.5,2,6,5,7,12,3,"A"
14,4.5,14,1,4.5,7,14,10,10,10,0,6,3,8,12,2,"A"
11.5,11.5,11.5,4.5,4.5,11.5,15,8,4.5,4.5,0,7,2,9,14,1,"A"
14.5,4.5,10,0,10,4.5,14.5,10,10,10,1,6,3,7,13,2,"A"
14.5,4.5,11.5,2,8,8,14.5,11.5,4.5,8,0,6,3,10,13,1,"A"
14.5,2.5,11,2.5,5,7.5,14.5,11,7.5,11,0,6,4,9,13,1,"A"
11,7,14.5,4,2,11,14.5,11,7,7,0,5,3,9,13,1,"A"
14,3,10.5,0,7,7,14,14,7,10.5,1,5,4,9,12,2,"A"
11.5,7,11.5,3.5,3.5,11.5,15,11.5,7,7,0,5,2,9,14,1,"A"
14.5,7,11.5,1,7,7,14.5,11.5,7,7,0,4,3,10,13,2,"A"
14,3,10.5,1,7,7,14,14,7,10.5,0,5,4,9,12,2,"A"
11.5,7,11.5,2,7,11.5,15,11.5,7,4,0,5,3,9,14,1,"A"
14,1,10.5,5,5,8,14,14,5,10.5,0,7,3,9,12,2,"A"
11.5,6.5,11.5,2,6.5,11.5,15,11.5,6.5,6.5,0,4,3,9,14,1,"A"
14,4.5,14,2,4.5,10,14,10,7,10,0,6,3,8,12,1,"A"
11.5,6.5,11.5,2,6.5,11.5,15,11.5,6.5,6.5,0,4,3,9,14,1,"A"
11,11,14.5,2,4.5,11,14.5,7.5,7.5,4.5,0,6,3,9,13,1,"A"
15,3.5,11,7,1,11,11,11,3.5,11,0,6,5,8,14,2,"A"
11,4.5,15,7,0,11,11,11,4.5,11,1,6,3,8,14,2,"A"
14,4.5,14,2,4.5,10,14,10,7,10,0,6,3,8,12,1,"A"
11.5,6.5,11.5,2,6.5,11.5,15,11.5,6.5,6.5,0,4,3,9,14,1,"A"
11.5,7.5,11.5,4.5,2,11.5,15,11.5,4.5,7.5,0,6,3,9,14,1,"A"
11.5,7.5,11.5,2,7.5,11.5,15,11.5,4.5,4.5,0,6,3,9,14,1,"A"
11.5,7.5,11.5,5,2.5,11.5,15,11.5,2.5,7.5,0,6,4,9,14,1,"A"
14.5,7,11.5,1,7,7,14.5,11.5,7,7,0,4,3,10,13,2,"A"
14.5,3,11.5,1,7.5,7.5,14.5,11.5,7.5,7.5,0,5,4,10,13,2,"A"
14.5,4,10.5,4,4,10.5,14.5,10.5,7,10.5,0,6,2,8,13,1,"A"
14.5,4,11,1,7,7,14.5,11,7,11,0,5,3,9,13,2,"A"
11.5,6.5,11.5,1,6.5,11.5,15,11.5,6.5,6.5,0,4,3,9,14,2,"A"
11.5,7,14.5,2,7,11.5,14.5,7,7,7,0,4,3,10,13,1,"A"
14.5,6.5,11,0,6.5,6.5,14.5,11,11,6.5,1,4,3,9,13,2,"A"
12,7.5,15,7.5,1,12,12,7.5,4,7.5,0,5,3,10,14,2,"A"
11.5,3,11.5,7.5,3,11.5,15,11.5,3,7.5,0,6,5,9,14,1,"A"
11.5,7,11.5,3.5,3.5,11.5,15,11.5,7,7,0,5,2,9,14,1,"A"
14,4.5,9.5,0,9.5,4.5,14,14,9.5,9.5,1,6,3,7,12,2,"A"
12,7.5,12,2,7.5,12,15,7.5,7.5,4,0,5,3,10,14,1,"A"
11.5,8,11.5,2,5,11.5,15,11.5,5,5,0,7,3,9,14,1,"A"
11.5,4.5,11.5,4.5,4.5,11.5,15,11.5,4.5,8,0,7,2,9,14,1,"A"
14.5,4.5,11.5,2,8,8,14.5,11.5,4.5,8,0,6,3,10,13,1,"A"
14.5,4.5,10.5,4.5,4.5,10.5,14.5,10.5,4.5,10.5,0,7,2,8,13,1,"A"
14.5,7,11.5,1,7,7,14.5,11.5,7,7,0,4,3,10,13,2,"A"
11.5,7.5,11.5,4,4,11.5,15,11.5,4,7.5,0,6,2,9,14,1,"A"
14.5,4,11.5,1,7.5,7.5,14.5,11.5,7.5,7.5,0,5,3,10,13,2,"A"
14.5,4,10.5,1,6.5,6.5,14.5,10.5,10.5,10.5,0,5,3,8,13,2,"A"
11.5,7.5,14.5,4,2,11.5,14.5,7.5,7.5,7.5,0,5,3,10,13,1,"A"
11.5,7,15,7,0,11.5,11.5,11.5,3,7,1,5,4,9,14,2,"A"
11.5,11.5,11.5,1,7,11.5,15,7,7,4,0,5,3,9,14,2,"A"
14.5,4,11.5,1,7.5,7.5,14.5,11.5,7.5,7.5,0,5,3,10,13,2,"A"
14.5,4,11.5,2,7.5,7.5,14.5,11.5,7.5,7.5,0,5,3,10,13,1,"A"
11,7,14.5,3.5,3.5,11,14.5,11,7,7,0,5,2,9,13,1,"A"
14.5,4,11,4,4,7.5,14.5,11,7.5,11,0,6,2,9,13,1,"A"
11,4.5,15,7,0,11,11,11,4.5,11,1,6,3,8,14,2,"A"
14.5,5,11,5,5,11,14.5,11,2,8,0,7,3,9,13,1,"A"
14,4,14,4,4,10,14,10,7,10,0,6,2,8,12,1,"A"
11.5,7,11.5,2,4,11.5,15,11.5,7,7,0,5,3,9,14,1,"A"
10.5,10.5,14.5,2,4,10.5,14.5,6.5,10.5,6.5,0,5,3,8,13,1,"A"
11.5,7.5,14.5,4,2,11.5,14.5,7.5,7.5,7.5,0,5,3,10,13,1,"A"
14,3,11,1,7.5,7.5,14,14,7.5,7.5,0,5,4,10,12,2,"A"
12.5,5,9,2,9,9,15,12.5,5,5,0,7,3,11,14,1,"A"
14.5,4.5,11,4.5,4.5,11,14.5,11,4.5,8,0,7,2,9,13,1,"A"
14,6,14,2,4,9.5,14,9.5,9.5,9.5,0,5,3,7,12,1,"A"
14.5,7,11.5,1,7,7,14.5,11.5,7,7,0,4,3,10,13,2,"A"
14.5,4,11,1,7,7,14.5,11,7,11,0,5,3,9,13,2,"A"
11.5,7.5,11.5,4,4,11.5,15,11.5,4,7.5,0,6,2,9,14,1,"A"
11.5,8,14.5,4.5,2,11.5,14.5,8,4.5,8,0,6,3,10,13,1,"A"
11,11,14.5,7.5,2,11,14.5,7.5,4.5,4.5,0,6,3,9,13,1,"A"
11.5,7.5,11.5,2,7.5,11.5,15,11.5,4.5,4.5,0,6,3,9,14,1,"A"
14.5,7,11.5,0,7,7,14.5,11.5,7,7,1,4,3,10,13,2,"A"
14.5,2.5,10.5,5.5,2.5,10.5,14.5,10.5,5.5,10.5,0,7,4,8,13,1,"A"
14.5,6.5,11,1,6.5,6.5,14.5,11,11,6.5,0,4,3,9,13,2,"A"
14,1,10.5,3,5,7.5,14,14,7.5,10.5,0,6,4,9,12,2,"A"
9,11.5,14.5,5.5,5.5,11.5,14.5,5.5,5.5,2,0,8,3,10,13,1,"A"
11.5,6.5,11.5,2,6.5,11.5,15,11.5,6.5,6.5,0,4,3,9,14,1,"A"
